Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
73,Jacynta Galabadaarachchi,au AUS,"FW,MF",West Ham,18,2001,5.4,0,0,0,1.67,0.37,0,22.2,0.31,0.07,0,0,0.07,0.07,0.05,-0.07,-0.07,Matches
74,Leah Galton,eng ENG,FW,Manchester Utd,25,1994,11.5,0.35,0,0,2.52,1.22,0,48.3,0.22,0.11,0.14,0.29,0.25,0.25,0.1,0.1,0.1,Matches
75,Gabrielle George,eng ENG,DF,Everton,22,1997,13,0,0,0,0.62,0.23,0,37.5,0.05,0.02,0,0,0.05,0.05,0.09,-0.05,-0.05,Matches
76,Lee Geum-min,kr KOR,"MF,FW",Manchester City,25,1994,0.5,2,0,0,2,2,0,100,4.4,4.4,1,1,0.6,0.6,0.27,1.4,1.4,Matches
77,Felicity Gibbons,eng ENG,DF,Brighton,25,1994,15,0,0,0,0.13,0.07,0,50,0.01,0,0,0,0.01,0.01,0.08,-0.01,-0.01,Matches
78,Hannah Godfrey,sco SCO,DF,Tottenham,22,1997,14,0,0,0,0.43,0,0,0,0.03,0,0,,0.03,0.03,0.07,-0.03,-0.03,Matches
79,Esmee de Graaf,nl NED,"FW,DF",West Ham,21,1997,0.4,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
80,Kit Graham,eng ENG,"FW,MF",Tottenham,23,1995,12,0.25,0,0,3.5,1.08,0.33,31,0.29,0.09,0.07,0.23,0.18,0.18,0.05,0.07,0.07,Matches
81,Lucy Graham,sco SCO,MF,Everton,22,1996,13.7,0.29,0.07,0.07,1.68,0.51,0,30.4,0.12,0.04,0.13,0.43,0.15,0.09,0.06,0.14,0.12,Matches
82,Abbi Grant,sco SCO,"FW,MF",Birmingham City,23,1995,12,0.17,0,0,1.92,0.58,0,30.4,0.16,0.05,0.09,0.29,0.15,0.15,0.08,0.02,0.02,Matches
83,Josephine Green,wal WAL,MF,Tottenham,26,1993,12.4,0,0,0,0.97,0.16,0,16.7,0.08,0.01,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
84,Kayleigh Green,wal WAL,"FW,MF",Brighton,31,1988,14,0.14,0.07,0.07,1.29,0.36,0,27.8,0.09,0.03,0.06,0.2,0.25,0.19,0.15,-0.11,-0.12,Matches
85,Freya Gregory,,FW,Birmingham City,,,0.9,0,0,0,1.11,0,0,0,1.19,0,0,,0,0,0.03,0,0,Matches
86,Jackie Groenen,nl NED,MF,Manchester Utd,24,1994,11.4,0,0,0,1.32,0.53,0,40,0.11,0.05,0,0,0.14,0.14,0.1,-0.14,-0.14,Matches
87,Coral-Jade Haines,eng ENG,MF,Tottenham,23,1996,1.2,0,0,0,2.5,0,0,0,2.03,0,0,,0.17,0.17,0.05,-0.17,-0.17,Matches
88,Hannah Hampton,eng ENG,GK,Birmingham City,18,2000,13,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
89,Kirsty Hanson,sco SCO,FW,Manchester Utd,21,1998,5.5,0.55,0,0,2.73,0.73,0,26.7,0.49,0.13,0.2,0.75,0.25,0.25,0.1,0.29,0.29,Matches
90,Natasha Harding,wal WAL,"DF,FW",Reading,30,1989,6.3,0,0,0,0.79,0,0,0,0.13,0,0,,0.08,0.08,0.1,-0.08,-0.08,Matches
91,Martha Harris,eng ENG,DF,Manchester Utd,24,1994,9.3,0,0,0,0.54,0.11,0,20,0.06,0.01,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
92,Sophie Harris,eng ENG,GK,Brighton,24,1994,1,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
